plate mjd id MJD SEEING50 RMSOFF50 AIRMASS ALT meanAlt designAlt meanHa haMin
6308 56215 b1-00148984 56215 1.6254 0.0172052 1.11437 62.094 63.813 57.614 -27.4539 -35.0000
6308 56215 b1-00148985 56215 1.5583 0.0169272 1.08554 65.419 67.102 57.614 -23.3469 -35.0000
6582 56274 b1-00152576 56274 1.1229 0.0142733 1.01673 81.084 79.592 75.464 9.3994 15.0000
6582 56274 b1-00152577 56274 1.1039 0.0133519 1.02792 78.319 76.615 75.464 13.5022 15.0000
6582 56274 b1-00152578 56274 1.296 0.0135553 1.04344 75.207 73.410 75.464 17.6051 15.0000
6582 56274 b1-00152579 56274 1.4 0.0156099 1.06358 71.954 70.089 75.464 21.7080 15.0000
6590 56273 b1-00152379 56273 1.8732 0.0152231 1.01532 80.849 80.036 81.150 5.2140 0.0000
6590 56273 b1-00152380 56273 1.6346 0.0155673 1.02255 79.257 77.948 81.150 9.3169 0.0000
6590 56273 b1-00152381 56273 1.8057 0.01611 1.034 76.838 75.268 81.150 13.4156 0.0000
6590 56273 b1-00152382 56273 1.6166 0.0163806 1.04994 73.96 72.261 81.150 17.5184 0.0000
6590 56273 b1-00152383 56273 1.4779 0.0169998 1.07066 70.863 69.071 81.150 21.6214 0.0000
6590 56273 b1-00152384 56273 1.3846 0.0173294 1.09659 67.602 65.774 81.150 25.7242 0.0000
